"_alternate_title","_api_name","_cover_image","_dir","_director","_episode_count","_episode_length","_finished_airing","_genres","_rating_1","_rating_2","_reponse","_show_type","_started_airing","_status","_synopsis","_title","_type","_url","_votes","_year"
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/011/143/large/74747.jpg?1435407028","Evangelion","","2","1","2015-05-11","[{u'name': u'Comedy'}, {u'name': u'Mecha'}, {u'name': u'Parody'}]","0.0","","","Special","2015-05-11","Finished Airing","Schick x Evangelion commercials.
Note: The video marked ""trailer"" contains both commercials.","Schick x Evangelion","anime","https://hummingbird.me/anime/schick-x-evangelion","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/003/936/large/gqt6iYB.jpg?1419000387","Fullmetal Alchemist Brotherhood","","64","24","2010-07-04","[{u'name': u'Action'}, {u'name': u'Adventure'}, {u'name': u'Drama'}, {u'name': u'Magic'}, {u'name': u'Fantasy'}, {u'name': u'Military'}]","4.6305500213","","","TV","2009-04-05","Finished Airing","In this world alchemists exist, people who study and perform the art of alchemical transmutation, the ability to manipulate objects and transform one object into another. They are bound by the basic law of alchemy: equivalent exchange. In order to obtain or create something, something of equal value must be lost or destroyed. The main character is the famous alchemist Edward Elric, also known as the Fullmetal Alchemist who almost lost his little brother, Alphonse, in an alchemical accident. Edward managed to attach his brother's soul to a large suit of armor. While he did manage to save his brother's life, he paid the terrible price of his limbs. To get back what they've lost, the brothers embark on a journey to find the Philosopher's Stone that is said to amplify the powers of an alchemist enormously. Fullmetal Alchemist: Brotherhood is a re-telling of the story that follows the original manga.","Fullmetal Alchemist: Brotherhood","anime","https://hummingbird.me/anime/fullmetal-alchemist-brotherhood","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/004/927/large/4927.jpg?1408453869","GTO","","2","43","2009-10-02","[{'name': 'Action'}, {'name': 'Sci-Fi'}]","3.46014481422476","","","OVA","2009-10-02","Finished Airing","Elliptical Orbit:
Fifteen years after its last contact with our world, a space freighter known as the Flying Dutchman requests permission to dock at a remote moon base. This mysterious ship carries liquid protons: a power source essential to the survival of Earth’s population. But before the precious cargo can be delivered, the base is ambushed by galactic terrorists who seek to destroy the new form of energy and issue a death sentence to all of humanity.
Symbiotic Planet:
Against a backdrop of intergalactic colonization and bizarre alien life forms, Aon and Elena – star-crossed lovers from rival countries competing for valuable natural resources – struggle to build a life together despite the objections of their superiors. Their budding romance is thwarted by an outbreak of alien fungus and the interference of a cutthroat militaristic madman.  To survive, the young couple must maintain their faith in each other and learn to trust the unique creatures which inhabit this strange and wondrous new world.
(Source: Funimation)","TO","anime","https://hummingbird.me/anime/to","",""
"Your Lie in April","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/008/403/large/acgdb.com-27d1f1af31750bf81ddd7496a5eadf6bc2989d74.jpg?1425430943","Shigatsu wa Kimi no Uso","","22","23","2015-03-20","[{'name': 'Drama'}, {'name': 'Romance'}, {'name': 'School'}, {'name': 'Music'}]","4.4139313773736","","","TV","2014-10-10","Finished Airing","Piano prodigy Arima Kosei dominated the competition and all child musicians knew his name. But after his mother, who was also his instructor, passed away, he had a mental breakdown while performing at a recital that resulted in him no longer being able to hear the sound of his piano even though his hearing was perfectly fine. Even two years later, Kosei hasn't touched the piano and views the world in monotone, and without any flair or color. He was content at living out his life with his good friends Tsubaki and Watari until, one day, a girl changed everything. Miyazono Kaori is a pretty, free spirited violinist whose playing style reflects her personality. Kaori helps Kosei return to the music world and show that it should be free and mold breaking unlike the structured and rigid style Kosei was used to.

(Source: MangaHelpers)","Shigatsu wa Kimi no Uso","anime","https://hummingbird.me/anime/shigatsu-wa-kimi-no-uso","",""
"Terror in Resonance","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/008/342/large/i1BVipFe71jiA.jpg?1416268304","Terror in Resonance","","11","23","2014-09-26","[{'name': 'Psychological'}, {'name': 'Thriller'}]","4.13582301123447","","","TV","2014-07-11","Finished Airing","In an alternate version of the present, Tokyo has been decimated by a shocking terrorist attack, and the only hint to the identity of the culprit is a bizarre video uploaded to the internet. The police, baffled by this cryptic clue, are powerless to stop the paranoia spreading across the population.
 
While the world searches for a criminal mastermind to blame for this tragedy, two mysterious children—children who shouldn't even exist—masterfully carry out their heinous plan. Cursed to walk through this world with the names Nine and Twelve, the two combine to form ""Sphinx,"" a clandestine entity determine to wake the people from their slumber—and pull the trigger on this world.

(Source: FUNimation)","Zankyou no Terror","anime","https://hummingbird.me/anime/zankyou-no-terror","",""
"None","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/004/477/large/ibnB9ZtMmM7c1P.jpg?1423184911","Tokyo Magnitude 8.0","","11","22","2009-09-18","[{'name': 'Drama'}]","4.05858143132416","","","TV","2009-07-10","Finished Airing","The premise of the project is the 70% possibility that a magnitude 7.0 earthquake will occur in Tokyo in the next 30 years. The anime depicts what would happen if an 8.0 earthquake took place. 
The story centers on Mirai, a middle school freshman girl who goes to Tokyoâs artificial Odaiba Island for a robot exhibition with her brother Yuuki at the start of summer vacation. A powerful tremor emanates from an ocean trench, the famed Tokyo Tower and Rainbow Bridge crumble and fall, and the landscape of Tokyo changes in an instant. With the help of a motorcycle delivery woman named Mari who they meet on Odaiba, Mirai and Yuuki strive to head back to their Setagaya home in western Tokyo.","Tokyo Magnitude 8.0","anime","https://hummingbird.me/anime/tokyo-magnitude-8-0","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/000/714/large/714.jpg?1416319824","Untitled Folder","","13","23","2000-07-19","[{'name': 'Comedy'}, {'name': 'Sci-Fi'}, {'name': 'Slice of Life'}]","3.52937811503129","","","TV","2000-04-26","Finished Airing","In the 21st century, aliens have arrived on Earth and live among humans. In sleepy Enohana, the dirt-poor student Chigasaki Mayuko finds herself living together with NieA, a low-caste (""Under Seven"") alien. While Mayuko struggles diligently to make ends meet, NieA seems to be totally unconcerned with the consequences of her actions. As the odd couple throws off the expected sparks, the wrecked alien mothership looms in the background... 
(Source: ANN)","NieA Under 7","anime","https://hummingbird.me/anime/niea-under-7","",""
"Thumbelina: A Magical Story","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/002/539/large/2539.jpg?1408446957","Abeno Street The Street of Magical Stores","","26","20","1992-09-30","[{'name': 'Adventure'}, {'name': 'Fantasy'}]","0.0","","","TV","1992-03-31","Finished Airing","A bratty girl named Mia is given a book, Thumbelina, which upon reading she is shrunk and transported into the world of the book. She embarks on a journey to return home, and to normal size making friends and learning lessons on the way, but that's only the beginning of her adventures.
(Source: ANN)","Oyayubi Hime","anime","https://hummingbird.me/anime/oyayubi-hime","",""
"","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/006/590/large/ibnKQvaFX8F3wv.jpg?1418662182","Accel World","","24","24","2012-09-21","[{'name': 'Action'}, {'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Sci-Fi'}, {'name': 'Romance'}, {'name': 'School'}, {'name': 'Game'}]","3.74233936031945","","","TV","2012-04-06","Finished Airing","In 2046, people can access a virtual network known as the Neurolinker via their cellphone terminals. A perpetual victim of bullying, middle school student Haruyuki spends his time absorbed in games in a corner of his local network. One day he is approached by the most famous girl in his school, Kuroyukihime (Black Snow Princess). She gives him a strange program called Brain Burst that has the power to ""accelerate the world.""

(Source: ANN)","Accel World","anime","https://hummingbird.me/anime/accel-world","",""
"None","hummingbirdv1","https://static.hummingbird.me/anime/poster_images/000/000/076/large/ToUyf3r.jpg?1433415228","Last Exile","","26","24","2003-09-29","[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Sci-Fi'}]","4.00926345904092","","","TV","2003-04-07","Finished Airing","It's the dawn of the Golden Age of Aviation on planet Prester, and retro-futuristic sky vehicles known as vanships dominate the horizon. Claus Valca – a flyboy born with the right stuff – and his fiery navigator Lavie are fearless racers obsessed with becoming the first sky couriers to cross the Grand Stream in a vanship. But when the high-flying duo encounters a mysterious girl named Alvis, they are thrust into the middle of an endless battle between Anatoray and Disith – two countries systematically destroying each other according to the code of chivalric warfare. Lives will be lost and legacies determined as Claus and Lavie attempt to bring peace to their world by solving the riddle of its chaotic core.

(Source: Funimation)","Last Exile","anime","https://hummingbird.me/anime/last-exile","",""
